CO,CO2,Kategori
147,165,Tidak Sehat
339,334,Berbahaya
317,352,Berbahaya
196,460,Berbahaya
137,159,Tidak Sehat
239,143,Sangat Tidak Sehat
110,166,Tidak Sehat
438,108,Berbahaya
77,392,Berbahaya
490,1,Berbahaya
61,38,Sedang
424,61,Berbahaya
255,492,Berbahaya
447,291,Berbahaya
244,271,Sangat Tidak Sehat
229,437,Berbahaya
323,456,Berbahaya
108,438,Berbahaya
322,302,Berbahaya
293,333,Berbahaya
223,185,Sangat Tidak Sehat
115,208,Sangat Tidak Sehat
119,16,Tidak Sehat
44,256,Sangat Tidak Sehat
330,140,Berbahaya
491,384,Berbahaya
414,413,Berbahaya
471,491,Berbahaya
190,37,Tidak Sehat
315,377,Berbahaya
267,124,Sangat Tidak Sehat
277,465,Berbahaya
467,321,Berbahaya
446,193,Berbahaya
318,29,Berbahaya
154,387,Berbahaya
434,183,Berbahaya
23,122,Tidak Sehat
282,245,Sangat Tidak Sehat
304,363,Berbahaya
117,51,Tidak Sehat
103,73,Tidak Sehat
148,355,Berbahaya
483,64,Berbahaya
466,125,Berbahaya
252,90,Sangat Tidak Sehat
472,181,Berbahaya
153,420,Berbahaya
379,396,Berbahaya
126,241,Sangat Tidak Sehat
403,368,Berbahaya
223,397,Berbahaya
303,293,Berbahaya
36,187,Tidak Sehat
190,136,Tidak Sehat
499,276,Berbahaya
165,238,Sangat Tidak Sehat
264,1,Sangat Tidak Sehat
43,94,Sedang
196,292,Sangat Tidak Sehat
440,237,Berbahaya
293,95,Sangat Tidak Sehat
51,300,Berbahaya
260,143,Sangat Tidak Sehat
329,291,Berbahaya
425,154,Berbahaya
491,115,Berbahaya
338,58,Berbahaya
459,36,Berbahaya
118,287,Sangat Tidak Sehat
115,57,Tidak Sehat
310,475,Berbahaya
458,256,Berbahaya
454,206,Berbahaya
388,188,Berbahaya
421,72,Berbahaya
266,333,Berbahaya
95,78,Sedang
431,190,Berbahaya
154,273,Sangat Tidak Sehat
490,399,Berbahaya
308,157,Berbahaya
119,265,Sangat Tidak Sehat
240,229,Sangat Tidak Sehat
154,177,Tidak Sehat
354,346,Berbahaya
468,128,Berbahaya
12,395,Berbahaya
460,119,Berbahaya
288,436,Berbahaya
192,387,Berbahaya
42,474,Berbahaya
150,290,Sangat Tidak Sehat
64,418,Berbahaya
96,89,Sedang
396,212,Berbahaya
35,179,Tidak Sehat
168,109,Tidak Sehat
422,414,Berbahaya
375,320,Berbahaya
65,402,Berbahaya
232,79,Sangat Tidak Sehat
61,32,Sedang
487,263,Berbahaya
8,434,Berbahaya
208,335,Berbahaya
294,474,Berbahaya
231,358,Berbahaya
209,278,Sangat Tidak Sehat
201,332,Berbahaya
254,205,Sangat Tidak Sehat
241,146,Sangat Tidak Sehat
472,221,Berbahaya
202,389,Berbahaya
364,198,Berbahaya
40,196,Tidak Sehat
70,130,Tidak Sehat
404,51,Berbahaya
194,32,Tidak Sehat
240,350,Berbahaya
138,374,Berbahaya
252,296,Sangat Tidak Sehat
226,462,Berbahaya
484,122,Berbahaya
437,480,Berbahaya
352,481,Berbahaya
106,425,Berbahaya
483,408,Berbahaya
238,274,Sangat Tidak Sehat
41,65,Sedang
457,209,Berbahaya
370,377,Berbahaya
377,85,Berbahaya
376,315,Berbahaya
426,148,Berbahaya
410,8,Berbahaya
11,381,Berbahaya
424,301,Berbahaya
253,80,Sangat Tidak Sehat
113,106,Tidak Sehat
377,481,Berbahaya
60,56,Sedang
234,331,Berbahaya
117,319,Berbahaya
258,136,Sangat Tidak Sehat
383,454,Berbahaya
248,323,Berbahaya
229,310,Berbahaya
427,306,Berbahaya
486,73,Berbahaya
459,240,Berbahaya
122,54,Tidak Sehat
499,56,Berbahaya
179,202,Sangat Tidak Sehat
17,263,Sangat Tidak Sehat
401,353,Berbahaya
111,244,Sangat Tidak Sehat
314,143,Berbahaya
50,175,Tidak Sehat
422,366,Berbahaya
206,163,Sangat Tidak Sehat
476,406,Berbahaya
439,321,Berbahaya
165,2,Tidak Sehat
247,198,Sangat Tidak Sehat
282,382,Berbahaya
62,74,Sedang
338,143,Berbahaya
365,296,Berbahaya
105,311,Berbahaya
310,81,Berbahaya
336,165,Berbahaya
56,105,Tidak Sehat
71,4,Sedang
295,310,Berbahaya
309,449,Berbahaya
434,263,Berbahaya
313,484,Berbahaya
171,162,Tidak Sehat
304,188,Berbahaya
201,492,Berbahaya
393,252,Berbahaya
89,147,Tidak Sehat
387,71,Berbahaya
353,137,Berbahaya
96,53,Sedang
117,241,Sangat Tidak Sehat
23,45,Baik
60,167,Tidak Sehat
439,418,Berbahaya
78,120,Tidak Sehat
168,157,Tidak Sehat
73,26,Sedang
457,250,Berbahaya
335,95,Berbahaya
321,259,Berbahaya
95,100,Sedang
304,397,Berbahaya
393,50,Berbahaya
50,405,Berbahaya
203,387,Berbahaya
16,12,Baik
133,141,Tidak Sehat
31,49,Baik
449,117,Berbahaya
124,102,Tidak Sehat
403,30,Berbahaya
293,28,Sangat Tidak Sehat
166,1,Tidak Sehat
477,374,Berbahaya
99,48,Sedang
221,14,Sangat Tidak Sehat
401,106,Berbahaya
28,456,Berbahaya
331,302,Berbahaya
72,245,Sangat Tidak Sehat
435,47,Berbahaya
325,339,Berbahaya
214,274,Sangat Tidak Sehat
122,79,Tidak Sehat
491,67,Berbahaya
173,380,Berbahaya
196,185,Tidak Sehat
116,463,Berbahaya
184,95,Tidak Sehat
168,243,Sangat Tidak Sehat
368,137,Berbahaya
220,494,Berbahaya
465,271,Berbahaya
451,181,Berbahaya
280,364,Berbahaya
353,227,Berbahaya
252,207,Sangat Tidak Sehat
203,185,Sangat Tidak Sehat
254,114,Sangat Tidak Sehat
352,461,Berbahaya
420,387,Berbahaya
452,76,Berbahaya
47,393,Berbahaya
442,201,Berbahaya
102,182,Tidak Sehat
184,101,Tidak Sehat
4,400,Berbahaya
104,263,Sangat Tidak Sehat
74,429,Berbahaya
439,445,Berbahaya
452,333,Berbahaya
330,396,Berbahaya
408,244,Berbahaya
51,244,Sangat Tidak Sehat
304,293,Berbahaya
382,416,Berbahaya
260,275,Sangat Tidak Sehat
324,134,Berbahaya
425,332,Berbahaya
50,205,Sangat Tidak Sehat
386,349,Berbahaya
253,334,Berbahaya
157,18,Tidak Sehat
56,398,Berbahaya
122,209,Sangat Tidak Sehat
11,114,Tidak Sehat
159,408,Berbahaya
256,146,Sangat Tidak Sehat
286,480,Berbahaya
471,148,Berbahaya
438,204,Berbahaya
343,489,Berbahaya
96,33,Sedang
138,343,Berbahaya
158,99,Tidak Sehat
7,451,Berbahaya
473,358,Berbahaya
271,26,Sangat Tidak Sehat
483,180,Berbahaya
256,329,Berbahaya
127,18,Tidak Sehat
369,38,Berbahaya
15,195,Tidak Sehat
285,384,Berbahaya
39,116,Tidak Sehat
417,388,Berbahaya
242,53,Sangat Tidak Sehat
105,290,Sangat Tidak Sehat
232,210,Sangat Tidak Sehat
188,120,Tidak Sehat
471,162,Berbahaya
219,166,Sangat Tidak Sehat
467,463,Berbahaya
410,154,Berbahaya
142,9,Tidak Sehat
277,48,Sangat Tidak Sehat
254,405,Berbahaya
211,205,Sangat Tidak Sehat
50,143,Tidak Sehat
220,398,Berbahaya
192,127,Tidak Sehat
425,352,Berbahaya
398,447,Berbahaya
310,487,Berbahaya
379,485,Berbahaya
316,498,Berbahaya
187,83,Tidak Sehat
337,205,Berbahaya
184,80,Tidak Sehat
332,152,Berbahaya
231,127,Sangat Tidak Sehat
288,435,Berbahaya
260,459,Berbahaya
392,364,Berbahaya
468,4,Berbahaya
26,108,Tidak Sehat
453,39,Berbahaya
74,203,Sangat Tidak Sehat
399,154,Berbahaya
185,4,Tidak Sehat
90,109,Tidak Sehat
158,72,Tidak Sehat
213,80,Sangat Tidak Sehat
61,431,Berbahaya
279,445,Berbahaya
437,300,Berbahaya
269,116,Sangat Tidak Sehat
259,121,Sangat Tidak Sehat
178,493,Berbahaya
168,364,Berbahaya
466,467,Berbahaya
313,335,Berbahaya
209,419,Berbahaya
306,326,Berbahaya
418,210,Berbahaya
101,136,Tidak Sehat
60,12,Sedang
144,353,Berbahaya
232,101,Sangat Tidak Sehat
4,68,Sedang
110,256,Sangat Tidak Sehat
280,374,Berbahaya
489,445,Berbahaya
11,389,Berbahaya
58,421,Berbahaya
450,164,Berbahaya
14,437,Berbahaya
167,322,Berbahaya
230,410,Berbahaya
249,307,Berbahaya
106,359,Berbahaya
436,490,Berbahaya
244,199,Sangat Tidak Sehat
84,277,Sangat Tidak Sehat
278,241,Sangat Tidak Sehat
46,463,Berbahaya
408,19,Berbahaya
303,199,Berbahaya
420,346,Berbahaya
25,430,Berbahaya
301,18,Berbahaya
488,183,Berbahaya
432,398,Berbahaya
345,268,Berbahaya
30,137,Tidak Sehat
153,170,Tidak Sehat
285,33,Sangat Tidak Sehat
87,449,Berbahaya
360,378,Berbahaya
442,136,Berbahaya
251,275,Sangat Tidak Sehat
116,57,Tidak Sehat
158,338,Berbahaya
296,123,Sangat Tidak Sehat
66,359,Berbahaya
351,273,Berbahaya
8,53,Sedang
404,106,Berbahaya
328,191,Berbahaya
457,342,Berbahaya
370,40,Berbahaya
224,394,Berbahaya
392,107,Berbahaya
126,147,Tidak Sehat
143,160,Tidak Sehat
182,345,Berbahaya
300,181,Berbahaya
312,193,Berbahaya
133,8,Tidak Sehat
121,482,Berbahaya
425,307,Berbahaya
150,271,Sangat Tidak Sehat
63,339,Berbahaya
440,420,Berbahaya
362,360,Berbahaya
321,116,Berbahaya
180,27,Tidak Sehat
54,24,Sedang
44,60,Sedang
312,37,Berbahaya
92,135,Tidak Sehat
250,81,Sangat Tidak Sehat
312,246,Berbahaya
161,222,Sangat Tidak Sehat
406,140,Berbahaya
417,132,Berbahaya
67,97,Sedang
17,234,Sangat Tidak Sehat
9,184,Tidak Sehat
192,76,Tidak Sehat
480,139,Berbahaya
427,188,Berbahaya
427,475,Berbahaya
399,477,Berbahaya
331,169,Berbahaya
264,373,Berbahaya
99,462,Berbahaya
267,329,Berbahaya
322,147,Berbahaya
398,6,Berbahaya
87,272,Sangat Tidak Sehat
430,298,Berbahaya
144,268,Sangat Tidak Sehat
367,76,Berbahaya
127,307,Berbahaya
5,147,Tidak Sehat
56,411,Berbahaya
438,126,Berbahaya
185,12,Tidak Sehat
362,307,Berbahaya
457,71,Berbahaya
131,29,Tidak Sehat
298,49,Sangat Tidak Sehat
255,318,Berbahaya
63,408,Berbahaya
396,177,Berbahaya
32,53,Sedang
481,297,Berbahaya
344,224,Berbahaya
337,190,Berbahaya
283,46,Sangat Tidak Sehat
340,20,Berbahaya
404,476,Berbahaya
50,54,Sedang
126,44,Tidak Sehat
290,30,Sangat Tidak Sehat
339,419,Berbahaya
196,111,Tidak Sehat
380,5,Berbahaya
268,187,Sangat Tidak Sehat
55,88,Sedang
396,113,Berbahaya
77,475,Berbahaya
249,167,Sangat Tidak Sehat
485,23,Berbahaya
152,201,Sangat Tidak Sehat
120,26,Tidak Sehat
124,490,Berbahaya
486,264,Berbahaya
253,427,Berbahaya
220,59,Sangat Tidak Sehat
126,96,Tidak Sehat
138,173,Tidak Sehat
415,313,Berbahaya
499,406,Berbahaya
400,131,Berbahaya
236,497,Berbahaya
479,334,Berbahaya
476,70,Berbahaya
20,227,Sangat Tidak Sehat
347,360,Berbahaya
430,328,Berbahaya
168,141,Tidak Sehat
111,450,Berbahaya
493,343,Berbahaya
199,498,Berbahaya
418,16,Berbahaya
58,309,Berbahaya
114,367,Berbahaya
228,243,Sangat Tidak Sehat
73,230,Sangat Tidak Sehat
178,345,Berbahaya
407,497,Berbahaya
300,415,Berbahaya
311,469,Berbahaya
482,226,Berbahaya
330,299,Berbahaya
452,212,Berbahaya
1,346,Berbahaya
196,33,Tidak Sehat
127,377,Berbahaya
165,420,Berbahaya
151,402,Berbahaya
252,23,Sangat Tidak Sehat
437,200,Berbahaya
185,269,Sangat Tidak Sehat
194,466,Berbahaya
46,77,Sedang
395,258,Berbahaya
323,146,Berbahaya
418,166,Berbahaya
207,276,Sangat Tidak Sehat
202,469,Berbahaya
358,168,Berbahaya
469,481,Berbahaya
16,365,Berbahaya
255,68,Sangat Tidak Sehat
29,79,Sedang
484,162,Berbahaya
46,275,Sangat Tidak Sehat
352,98,Berbahaya
347,246,Berbahaya
383,63,Berbahaya
407,455,Berbahaya
333,320,Berbahaya
495,463,Berbahaya
405,275,Berbahaya
333,173,Berbahaya
421,317,Berbahaya
387,101,Berbahaya
82,100,Sedang
379,256,Berbahaya
12,168,Tidak Sehat
289,6,Sangat Tidak Sehat
438,155,Berbahaya
315,166,Berbahaya
356,479,Berbahaya
73,338,Berbahaya
16,288,Sangat Tidak Sehat
328,55,Berbahaya
300,81,Berbahaya
165,162,Tidak Sehat
369,83,Berbahaya
215,81,Sangat Tidak Sehat
459,314,Berbahaya
125,409,Berbahaya
375,341,Berbahaya
386,19,Berbahaya
333,149,Berbahaya
173,53,Tidak Sehat
452,280,Berbahaya
334,137,Berbahaya
463,193,Berbahaya
426,32,Berbahaya
328,464,Berbahaya
190,98,Tidak Sehat
199,225,Sangat Tidak Sehat
339,230,Berbahaya
386,60,Berbahaya
348,110,Berbahaya
242,402,Berbahaya
262,35,Sangat Tidak Sehat
305,469,Berbahaya
77,303,Berbahaya
465,244,Berbahaya
187,473,Berbahaya
418,56,Berbahaya
158,495,Berbahaya
121,197,Tidak Sehat
181,247,Sangat Tidak Sehat
465,375,Berbahaya
287,437,Berbahaya
433,21,Berbahaya
382,444,Berbahaya
263,19,Sangat Tidak Sehat
314,11,Berbahaya
58,257,Sangat Tidak Sehat
461,205,Berbahaya
313,15,Berbahaya
93,250,Sangat Tidak Sehat
159,164,Tidak Sehat
49,452,Berbahaya
270,18,Sangat Tidak Sehat
342,259,Berbahaya
35,423,Berbahaya
234,164,Sangat Tidak Sehat
19,413,Berbahaya
312,414,Berbahaya
258,341,Berbahaya
286,173,Sangat Tidak Sehat
30,416,Berbahaya
489,476,Berbahaya
196,383,Berbahaya
265,84,Sangat Tidak Sehat
151,160,Tidak Sehat
300,375,Berbahaya
159,209,Sangat Tidak Sehat
486,189,Berbahaya
195,210,Sangat Tidak Sehat
500,403,Berbahaya
92,278,Sangat Tidak Sehat
340,486,Berbahaya
121,214,Sangat Tidak Sehat
294,273,Sangat Tidak Sehat
446,75,Berbahaya
457,227,Berbahaya
36,124,Tidak Sehat
481,4,Berbahaya
196,181,Tidak Sehat
440,249,Berbahaya
79,201,Sangat Tidak Sehat
317,494,Berbahaya
288,138,Sangat Tidak Sehat
491,359,Berbahaya
471,437,Berbahaya
476,250,Berbahaya
360,270,Berbahaya
222,49,Sangat Tidak Sehat
67,310,Berbahaya
457,442,Berbahaya
211,193,Sangat Tidak Sehat
170,39,Tidak Sehat
198,156,Tidak Sehat
297,160,Sangat Tidak Sehat
134,419,Berbahaya
145,98,Tidak Sehat
242,150,Sangat Tidak Sehat
469,339,Berbahaya
301,81,Berbahaya
217,190,Sangat Tidak Sehat
55,248,Sangat Tidak Sehat
54,388,Berbahaya
179,249,Sangat Tidak Sehat
152,226,Sangat Tidak Sehat
428,43,Berbahaya
101,290,Sangat Tidak Sehat
142,15,Tidak Sehat
339,323,Berbahaya
65,275,Sangat Tidak Sehat
59,65,Sedang
224,356,Berbahaya
16,299,Sangat Tidak Sehat
237,186,Sangat Tidak Sehat
207,124,Sangat Tidak Sehat
402,105,Berbahaya
104,5,Tidak Sehat
253,272,Sangat Tidak Sehat
360,189,Berbahaya
98,367,Berbahaya
334,180,Berbahaya
398,449,Berbahaya
70,470,Berbahaya
49,137,Tidak Sehat
393,205,Berbahaya
361,350,Berbahaya
367,44,Berbahaya
108,162,Tidak Sehat
223,241,Sangat Tidak Sehat
99,324,Berbahaya
209,155,Sangat Tidak Sehat
438,373,Berbahaya
439,481,Berbahaya
403,11,Berbahaya
431,116,Berbahaya
474,347,Berbahaya
308,324,Berbahaya
319,309,Berbahaya
343,387,Berbahaya
466,474,Berbahaya
64,393,Berbahaya
423,309,Berbahaya
150,491,Berbahaya
146,362,Berbahaya
38,18,Baik
430,147,Berbahaya
356,10,Berbahaya
25,137,Tidak Sehat
409,498,Berbahaya
223,54,Sangat Tidak Sehat
187,365,Berbahaya
317,438,Berbahaya
491,452,Berbahaya
270,77,Sangat Tidak Sehat
247,43,Sangat Tidak Sehat
191,432,Berbahaya
146,452,Berbahaya
23,307,Berbahaya
496,141,Berbahaya
413,231,Berbahaya
39,270,Sangat Tidak Sehat
348,410,Berbahaya
22,467,Berbahaya
316,360,Berbahaya
263,363,Berbahaya
336,360,Berbahaya
141,484,Berbahaya
350,198,Berbahaya
166,75,Tidak Sehat
333,391,Berbahaya
141,360,Berbahaya
154,174,Tidak Sehat
458,395,Berbahaya
396,164,Berbahaya
349,263,Berbahaya
436,209,Berbahaya
29,247,Sangat Tidak Sehat
144,68,Tidak Sehat
141,194,Tidak Sehat
21,337,Berbahaya
412,333,Berbahaya
148,86,Tidak Sehat
383,69,Berbahaya
141,296,Sangat Tidak Sehat
290,372,Berbahaya
55,420,Berbahaya
493,477,Berbahaya
348,444,Berbahaya
287,77,Sangat Tidak Sehat
388,54,Berbahaya
233,204,Sangat Tidak Sehat
133,6,Tidak Sehat
345,396,Berbahaya
306,476,Berbahaya
51,328,Berbahaya
167,198,Tidak Sehat
190,490,Berbahaya
308,139,Berbahaya
429,236,Berbahaya
97,320,Berbahaya
420,79,Berbahaya
165,313,Berbahaya
434,73,Berbahaya
418,230,Berbahaya
5,363,Berbahaya
31,291,Sangat Tidak Sehat
212,451,Berbahaya
251,432,Berbahaya
325,283,Berbahaya
68,122,Tidak Sehat
184,39,Tidak Sehat
124,103,Tidak Sehat
326,208,Berbahaya
115,75,Tidak Sehat
417,384,Berbahaya
149,405,Berbahaya
71,405,Berbahaya
345,423,Berbahaya
318,188,Berbahaya
408,44,Berbahaya
29,264,Sangat Tidak Sehat
493,127,Berbahaya
495,270,Berbahaya
83,259,Sangat Tidak Sehat
295,434,Berbahaya
151,338,Berbahaya
7,172,Tidak Sehat
496,348,Berbahaya
131,419,Berbahaya
107,127,Tidak Sehat
33,98,Sedang
447,273,Berbahaya
195,366,Berbahaya
404,218,Berbahaya
42,62,Sedang
45,443,Berbahaya
408,185,Berbahaya
229,4,Sangat Tidak Sehat
327,312,Berbahaya
188,97,Tidak Sehat
251,477,Berbahaya
330,445,Berbahaya
354,434,Berbahaya
485,89,Berbahaya
201,215,Sangat Tidak Sehat
246,32,Sangat Tidak Sehat
256,15,Sangat Tidak Sehat
243,196,Sangat Tidak Sehat
165,72,Tidak Sehat
330,491,Berbahaya
318,441,Berbahaya
395,113,Berbahaya
25,27,Baik
333,206,Berbahaya
56,85,Sedang
462,36,Berbahaya
164,153,Tidak Sehat
358,433,Berbahaya
173,181,Tidak Sehat
141,39,Tidak Sehat
373,69,Berbahaya
2,413,Berbahaya
396,4,Berbahaya
98,69,Sedang
137,495,Berbahaya
441,473,Berbahaya
385,376,Berbahaya
64,314,Berbahaya
315,257,Berbahaya
123,40,Tidak Sehat
303,349,Berbahaya
350,158,Berbahaya
159,50,Tidak Sehat
410,190,Berbahaya
299,149,Sangat Tidak Sehat
344,210,Berbahaya
326,61,Berbahaya
159,224,Sangat Tidak Sehat
208,305,Berbahaya
410,231,Berbahaya
150,299,Sangat Tidak Sehat
405,58,Berbahaya
129,389,Berbahaya
260,152,Sangat Tidak Sehat
467,51,Berbahaya
136,213,Sangat Tidak Sehat
466,69,Berbahaya
60,370,Berbahaya
189,68,Tidak Sehat
467,56,Berbahaya
186,145,Tidak Sehat
66,74,Sedang
326,482,Berbahaya
431,334,Berbahaya
449,348,Berbahaya
61,449,Berbahaya
64,492,Berbahaya
411,340,Berbahaya
253,454,Berbahaya
319,59,Berbahaya
257,169,Sangat Tidak Sehat
307,84,Berbahaya
286,114,Sangat Tidak Sehat
420,329,Berbahaya
111,18,Tidak Sehat
219,216,Sangat Tidak Sehat
473,169,Berbahaya
322,350,Berbahaya
151,494,Berbahaya
207,226,Sangat Tidak Sehat
498,292,Berbahaya
363,386,Berbahaya
95,343,Berbahaya
68,332,Berbahaya
243,377,Berbahaya
402,157,Berbahaya
63,22,Sedang
153,423,Berbahaya
191,85,Tidak Sehat
353,130,Berbahaya
288,117,Sangat Tidak Sehat
211,57,Sangat Tidak Sehat
42,434,Berbahaya
453,479,Berbahaya
318,94,Berbahaya
56,256,Sangat Tidak Sehat
484,404,Berbahaya
329,407,Berbahaya
142,465,Berbahaya
40,256,Sangat Tidak Sehat
122,474,Berbahaya
83,269,Sangat Tidak Sehat
86,203,Sangat Tidak Sehat
223,152,Sangat Tidak Sehat
339,114,Berbahaya
449,466,Berbahaya
99,122,Tidak Sehat
211,271,Sangat Tidak Sehat
296,125,Sangat Tidak Sehat
378,97,Berbahaya
255,318,Berbahaya
461,279,Berbahaya
375,112,Berbahaya
419,462,Berbahaya
119,94,Tidak Sehat
192,296,Sangat Tidak Sehat
233,407,Berbahaya
295,254,Sangat Tidak Sehat
108,243,Sangat Tidak Sehat
60,65,Sedang
201,76,Sangat Tidak Sehat
498,278,Berbahaya
22,288,Sangat Tidak Sehat
151,76,Tidak Sehat
335,267,Berbahaya
357,418,Berbahaya
147,485,Berbahaya
367,265,Berbahaya
381,258,Berbahaya
426,490,Berbahaya
120,376,Berbahaya
367,156,Berbahaya
301,339,Berbahaya
164,129,Tidak Sehat
42,107,Tidak Sehat
29,415,Berbahaya
189,481,Berbahaya
99,221,Sangat Tidak Sehat
235,34,Sangat Tidak Sehat
249,309,Berbahaya
126,146,Tidak Sehat
395,392,Berbahaya
379,318,Berbahaya
408,209,Berbahaya
266,365,Berbahaya
17,35,Baik
401,53,Berbahaya
408,137,Berbahaya
407,7,Berbahaya
368,279,Berbahaya
472,165,Berbahaya
368,68,Berbahaya
149,387,Berbahaya
302,161,Berbahaya
462,235,Berbahaya
363,330,Berbahaya
383,249,Berbahaya
41,213,Sangat Tidak Sehat
158,233,Sangat Tidak Sehat
43,347,Berbahaya
365,38,Berbahaya
315,436,Berbahaya
195,348,Berbahaya
266,327,Berbahaya
420,97,Berbahaya
390,462,Berbahaya
143,20,Tidak Sehat
404,262,Berbahaya
266,7,Sangat Tidak Sehat
455,282,Berbahaya
165,331,Berbahaya
123,124,Tidak Sehat
231,221,Sangat Tidak Sehat
390,478,Berbahaya
236,286,Sangat Tidak Sehat
152,72,Tidak Sehat
28,166,Tidak Sehat
250,155,Sangat Tidak Sehat
308,256,Berbahaya
489,329,Berbahaya
41,176,Tidak Sehat
471,173,Berbahaya
108,496,Berbahaya
173,65,Tidak Sehat
495,116,Berbahaya
150,206,Sangat Tidak Sehat
298,481,Berbahaya
120,465,Berbahaya
112,234,Sangat Tidak Sehat
98,234,Sangat Tidak Sehat
468,337,Berbahaya
335,163,Berbahaya
236,256,Sangat Tidak Sehat
470,145,Berbahaya
36,88,Sedang
419,462,Berbahaya
227,210,Sangat Tidak Sehat
92,260,Sangat Tidak Sehat
124,341,Berbahaya
464,172,Berbahaya
222,233,Sangat Tidak Sehat
131,146,Tidak Sehat
6,485,Berbahaya
222,433,Berbahaya
182,461,Berbahaya
252,33,Sangat Tidak Sehat
468,101,Berbahaya
200,52,Sangat Tidak Sehat
101,142,Tidak Sehat
210,4,Sangat Tidak Sehat
37,419,Berbahaya
352,5,Berbahaya
110,387,Berbahaya
247,26,Sangat Tidak Sehat
54,326,Berbahaya
207,26,Sangat Tidak Sehat
295,161,Sangat Tidak Sehat
9,338,Berbahaya
12,211,Sangat Tidak Sehat
86,302,Berbahaya
471,165,Berbahaya
243,415,Berbahaya
66,281,Sangat Tidak Sehat
71,171,Tidak Sehat
52,382,Berbahaya
284,152,Sangat Tidak Sehat
127,301,Berbahaya
25,18,Baik
480,161,Berbahaya
299,280,Sangat Tidak Sehat
371,352,Berbahaya
96,85,Sedang
130,119,Tidak Sehat
59,370,Berbahaya
153,286,Sangat Tidak Sehat
219,294,Sangat Tidak Sehat
170,91,Tidak Sehat
347,300,Berbahaya
240,66,Sangat Tidak Sehat
52,452,Berbahaya
397,275,Berbahaya
474,103,Berbahaya
235,462,Berbahaya
449,314,Berbahaya
445,17,Berbahaya
484,241,Berbahaya
13,38,Baik
270,70,Sangat Tidak Sehat
450,121,Berbahaya
324,291,Berbahaya
182,101,Tidak Sehat
190,174,Tidak Sehat
95,276,Sangat Tidak Sehat
360,263,Berbahaya
409,207,Berbahaya
234,363,Berbahaya
452,79,Berbahaya
159,358,Berbahaya
319,285,Berbahaya
13,104,Tidak Sehat
238,354,Berbahaya
70,446,Berbahaya
102,367,Berbahaya
25,274,Sangat Tidak Sehat
5,225,Sangat Tidak Sehat
381,333,Berbahaya
301,4,Berbahaya
439,230,Berbahaya
267,400,Berbahaya
493,215,Berbahaya
321,222,Berbahaya
69,477,Berbahaya
475,485,Berbahaya
434,283,Berbahaya
282,497,Berbahaya
491,200,Berbahaya
256,193,Sangat Tidak Sehat
428,429,Berbahaya
50,371,Berbahaya
471,1,Berbahaya
16,223,Sangat Tidak Sehat
256,174,Sangat Tidak Sehat
477,391,Berbahaya
178,167,Tidak Sehat
442,327,Berbahaya
84,33,Sedang
91,172,Tidak Sehat
366,195,Berbahaya
426,18,Berbahaya
431,127,Berbahaya
339,26,Berbahaya
155,110,Tidak Sehat
186,488,Berbahaya
177,449,Berbahaya
356,110,Berbahaya
143,95,Tidak Sehat
408,285,Berbahaya
456,448,Berbahaya
33,100,Sedang
446,256,Berbahaya
396,382,Berbahaya
333,306,Berbahaya
108,460,Berbahaya
19,261,Sangat Tidak Sehat
127,222,Sangat Tidak Sehat
262,384,Berbahaya
19,108,Tidak Sehat
102,399,Berbahaya
173,89,Tidak Sehat
34,470,Berbahaya
162,479,Berbahaya
60,123,Tidak Sehat
14,175,Tidak Sehat
393,53,Berbahaya
136,48,Tidak Sehat
170,37,Tidak Sehat
178,123,Tidak Sehat
118,357,Berbahaya
290,180,Sangat Tidak Sehat
154,269,Sangat Tidak Sehat
251,144,Sangat Tidak Sehat
236,359,Berbahaya
478,271,Berbahaya
199,78,Tidak Sehat
208,122,Sangat Tidak Sehat
192,307,Berbahaya
305,130,Berbahaya
37,265,Sangat Tidak Sehat
278,288,Sangat Tidak Sehat
437,470,Berbahaya
276,380,Berbahaya
385,127,Berbahaya
78,171,Tidak Sehat
252,153,Sangat Tidak Sehat
326,479,Berbahaya
109,294,Sangat Tidak Sehat
434,127,Berbahaya
208,159,Sangat Tidak Sehat
306,121,Berbahaya
389,332,Berbahaya
153,104,Tidak Sehat
88,314,Berbahaya
249,334,Berbahaya
330,23,Berbahaya
65,250,Sangat Tidak Sehat
100,484,Berbahaya
355,67,Berbahaya
11,117,Tidak Sehat
165,315,Berbahaya
334,136,Berbahaya
232,128,Sangat Tidak Sehat
429,49,Berbahaya
184,74,Tidak Sehat
55,383,Berbahaya
185,302,Berbahaya
377,334,Berbahaya
114,324,Berbahaya
328,260,Berbahaya
39,467,Berbahaya
168,378,Berbahaya
436,439,Berbahaya
84,375,Berbahaya
459,244,Berbahaya
170,138,Tidak Sehat
75,112,Tidak Sehat
255,111,Sangat Tidak Sehat
413,464,Berbahaya
356,390,Berbahaya
71,398,Berbahaya
426,329,Berbahaya
366,239,Berbahaya
328,308,Berbahaya
461,188,Berbahaya
204,224,Sangat Tidak Sehat
392,166,Berbahaya
181,321,Berbahaya
224,62,Sangat Tidak Sehat
24,50,Baik
30,241,Sangat Tidak Sehat
487,52,Berbahaya
160,382,Berbahaya
276,17,Sangat Tidak Sehat
87,135,Tidak Sehat
117,292,Sangat Tidak Sehat
130,110,Tidak Sehat
135,428,Berbahaya
156,307,Berbahaya
206,187,Sangat Tidak Sehat
14,194,Tidak Sehat
